"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (EUR)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid Type","Last significant edit"
2022-12-16,2026-01-16,"Engagement - FB & Inst 90J - All - FR",not_delivering,29391,video_thruplay_watched_actions,0.01189276,"Using campaign budget",0,349.54,51242,7235,Ongoing,2022-08-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2022-12-16,2026-01-16,"Website Visitors - 180J - All - FR",not_delivering,12411,video_thruplay_watched_actions,0.01152929,"Using campaign budget",0,143.09,25274,2946,Ongoing,2022-08-22,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2022-12-16,2026-01-16,"Engagement - 30j - All - FR",inactive,2409,actions:offsite_conversion.fb_pixel_purchase,11.60378165,"Using campaign budget",0,27953.51,3216014,209152,Ongoing,2022-08-29,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2022-12-16,2026-01-16,"VideoViews - 75% - All - FR",inactive,31,actions:offsite_conversion.fb_pixel_purchase,26.34225806,"Using campaign budget",0,816.61,190327,39614,Ongoing,2022-10-24,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2022-12-16,2026-01-16,"Interests - Bien-être - All - FR - LP site",not_delivering,5,actions:offsite_conversion.fb_pixel_purchase,61.966,25,Daily,309.83,32738,18256,Ongoing,2022-11-14,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2022-12-16,2026-01-16,"Interests - Développement personnel - All - FR",not_delivering,225,actions:offsite_conversion.fb_pixel_lead,1.06048889,"Using campaign budget",0,238.61,28969,21363,Ongoing,2022-11-14,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2022-12-16,2026-01-16,"Interests - Médecine - All - FR",not_delivering,191,actions:offsite_conversion.fb_pixel_lead,0.85612565,"Using campaign budget",0,163.52,37188,16539,Ongoing,2022-11-14,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2022-12-16,2026-01-16,"Website Visitors - Stack RTG - All - FR",not_delivering,26,actions:offsite_conversion.fb_pixel_purchase,8.14115385,"Using campaign budget",0,211.67,24441,3808,Ongoing,2022-12-02,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2022-12-16,2026-01-16,"Website Visitors - 90J - Pubs Noël - All - FR",inactive,4,actions:offsite_conversion.fb_pixel_purchase,20.1675,"Using campaign budget",0,80.67,11605,7352,Ongoing,2022-12-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2022-12-16,2026-01-16,"Interests - Bien-être - All - FR - LP site - 25€ - Créa winner",not_delivering,11,actions:offsite_conversion.fb_pixel_purchase,31.95909091,50,Daily,351.55,35165,22968,Ongoing,2022-12-05,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2022-12-16,2026-01-16,"Interests - Bien-être - All - FR - LP site",not_delivering,8,actions:offsite_conversion.fb_pixel_purchase,54.65375,50,Daily,437.23,40207,16823,Ongoing,2022-12-07,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
